1369,nfl,2018,41708,/players/card?leagueId=0&playerId=2558125
2003,nfl,2018,38580,/players/card?leagueId=0&playerId=2560968
370,nfl,2018,38550,/players/card?leagueId=0&playerId=2557997
1545,nfl,2018,37210,/players/card?leagueId=0&playerId=2552475
90,nfl,2018,35496,/players/card?leagueId=0&playerId=310
1934,nfl,2018,35420,/players/card?leagueId=0&playerId=2558019
2360,nfl,2018,34186,/players/card?leagueId=0&playerId=2506109
1400,nfl,2018,33400,/players/card?leagueId=0&playerId=2556214
1088,nfl,2018,33350,/players/card?leagueId=0&playerId=2540165
1096,nfl,2018,33170,/players/card?leagueId=0&playerId=2558063
999,nfl,2018,32960,/players/card?leagueId=0&playerId=2543495
729,nfl,2018,32910,/players/card?leagueId=0&playerId=2555224
1178,nfl,2018,32792,/players/card?leagueId=0&playerId=2533031
92,nfl,2018,32590,/players/card?leagueId=0&playerId=2495454
2183,nfl,2018,32370,/players/card?leagueId=0&playerId=2508061
1930,nfl,2018,31550,/players/card?leagueId=0&playerId=2556370
997,nfl,2018,31258,/players/card?leagueId=0&playerId=2506363
1551,nfl,2018,31032,/players/card?leagueId=0&playerId=2555334
1729,nfl,2018,30730,/players/card?leagueId=0&playerId=2541785
1906,nfl,2018,30498,/players/card?leagueId=0&playerId=2504775
2542,nfl,2018,29942,/players/card?leagueId=0&playerId=2532975
2385,nfl,2018,29690,/players/card?leagueId=0&playerId=2558149
1363,nfl,2018,29460,/players/card?leagueId=0&playerId=2540258
2632,nfl,2018,29040,/players/card?leagueId=0&playerId=2543468
758,nfl,2018,28590,/players/card?leagueId=0&playerId=2555260
